Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
13	1	1	1	2	1.279035	0.000000	1.001463	-0.022414	0.000000	0.022374	1.004532	0.000000
13	1	0	1	2	1.301767	0.192731	1.001464	-0.023520	0.000000	0.022110	1.006543	0.000000
13	1	12	1	0	1.270623	0.778059	1.001674	-0.022478	-121.758801	0.022029	1.004936	-707.730855
13	1	13	1	0	1.290171	1.172911	1.001598	-0.023325	-117.244447	0.021912	1.007013	148.024691
12	1	11	1	0	1.259344	0.819266	1.001800	-0.021996	-142.057098	0.022117	1.004865	-693.066596
12	1	12	1	0	1.260993	1.007811	1.001824	-0.021976	-137.208007	0.022196	1.004897	162.534484
12	1	2	1	2	1.259542	0.000000	1.001269	-0.021661	0.000000	0.022454	1.005172	0.000000
12	1	1	1	2	1.269401	0.000000	1.001612	-0.021913	0.000000	0.022540	1.004493	0.000000
11	1	10	1	0	1.246287	1.252945	1.001853	-0.021645	-159.841347	0.022021	1.005295	-683.568461
11	1	11	1	0	1.270488	1.258834	1.001914	-0.022308	-157.155759	0.022189	1.004458	173.139356
11	1	2	1	2	1.270659	0.000000	1.001383	-0.021972	0.000000	0.022526	1.004765	0.000000
10	1	3	1	2	1.265684	0.000000	1.001597	-0.022328	0.000000	0.021995	1.004518	0.000000
10	1	9	1	0	1.251771	1.112367	1.002130	-0.021728	-178.787667	0.022116	1.004368	-673.409748
10	1	10	1	0	1.250540	1.269259	1.002072	-0.022186	-175.792492	0.021614	1.004386	186.077150
9	1	9	1	0	1.203451	1.577067	1.001626	-0.020155	-194.555940	0.021997	1.004918	188.841053
9	1	8	1	0	1.215134	1.443864	1.001587	-0.020676	-198.046949	0.021873	1.004375	-666.403419
8	1	8	1	0	1.234429	1.907587	1.001796	-0.021399	-211.772145	0.021831	1.004405	198.558856
6	1	7	1	0	1.331283	1.070958	1.003820	-0.024714	918.445451	0.021941	1.003757	226.929301
8	1	7	1	0	1.297794	1.617431	1.001609	-0.023576	-212.913678	0.021832	1.002747	-656.801846
7	1	7	1	0	1.313315	1.531181	1.001834	-0.024406	-228.454386	0.021568	1.003515	204.234908
5	1	8	1	0	1.255054	1.310598	1.003846	-0.021900	934.145063	0.022106	1.004797	221.056655
5	1	7	1	0	1.318389	1.049750	1.003658	-0.024078	933.221791	0.022107	1.003138	-634.894357
6	1	6	1	0	1.313532	1.540028	1.003146	-0.024782	-228.171526	0.021234	1.003703	234.907597
4	1	9	1	0	1.192186	0.774565	1.003345	-0.019569	950.836768	0.022219	1.004673	212.109823
5	1	6	1	0	1.300627	1.223340	1.002984	-0.024145	-211.229937	0.021401	1.003083	-627.314447
5	1	5	1	0	1.245113	1.598550	1.003230	-0.021944	-211.577390	0.021702	1.004891	232.341773
4	1	8	1	0	1.203800	0.899478	1.003306	-0.020089	948.204483	0.022094	1.004130	-644.224956
4	1	5	1	0	1.193869	1.318751	1.002690	-0.020134	-198.395512	0.021690	1.004224	-632.439432
4	1	4	1	0	1.193801	1.343967	1.002989	-0.019845	-196.640733	0.021984	1.004278	226.564227
3	1	10	1	0	1.236073	0.666100	1.002721	-0.022074	972.061407	0.021229	1.004194	205.113796
3	1	9	1	0	1.237332	0.436513	1.002779	-0.021616	967.505944	0.021732	1.004177	-657.136086
3	1	4	1	0	1.238965	0.957945	1.002423	-0.021892	-178.431548	0.021497	1.003783	-639.636058
2	1	11	1	0	1.265932	0.756057	1.002275	-0.022887	990.212385	0.021463	1.004669	199.113280
3	1	3	1	0	1.251241	1.139879	1.002245	-0.022217	-174.041023	0.021610	1.004326	219.095120
2	1	10	1	0	1.241682	0.741145	1.002214	-0.022223	987.787864	0.021294	1.005506	-657.730182
2	1	3	1	0	1.256843	0.998073	1.001739	-0.022366	-159.655266	0.021675	1.005638	-642.461500
1	1	12	1	0	1.253739	1.003250	1.002060	-0.022228	1010.145635	0.021689	1.004624	191.101040
2	1	2	1	0	1.266073	0.949553	1.001744	-0.022551	-154.414162	0.021799	1.004976	206.615829
1	1	11	1	0	1.252090	0.350589	1.002036	-0.022248	981.974714	0.021610	1.004592	-595.668611
1	1	2	1	0	1.252258	1.073231	1.001505	-0.021913	-138.680101	0.021946	1.004899	-650.905350
0	1	13	1	0	1.281739	0.754179	1.001735	-0.023481	1030.004219	0.021462	1.006953	180.969529
1	1	1	1	0	1.262145	1.177093	1.001848	-0.022165	-137.202371	0.022033	1.004220	205.865536
0	1	12	1	2	1.262184	0.217385	1.001811	-0.022633	0.000000	0.021580	1.004876	0.000000
0	1	1	1	0	1.270593	0.685867	1.001599	-0.022570	-119.721352	0.021924	1.004473	-655.673872
0	1	0	1	0	1.293332	0.939809	1.001601	-0.023676	-113.443874	0.021660	1.006483	195.997925
